
Mon super auteur,ma super description
Mon super auteur,ma super description
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
José,Josiane est nulle
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
super_auteur,super gossip
Michel devrait,marcher cette fois ?
Michel devrait,marcher cette fois 
Michel devrait,marcher cette fois
Michel devrait,marcher cette fois
salut,hey
allez,michou
j'y crois,cettefois
wesh,wesh
